pin,r,g,b,total
2385,255,72,0,327
2386,255,42,0,297
2387,255,42,0,297
2388,255,46,0,301
2389,255,85,0,340
2390,255,71,0,326
2391,255,75,0,330
2392,255,12,0,267
2393,255,16,0,271
2394,243,0,0,243
2395,255,46,0,301
2396,255,21,0,276
2397,255,9,0,264
2398,255,36,0,291
2399,255,67,0,322
2400,255,91,0,346
2401,255,119,0,374
2402,255,95,0,350
2403,255,91,0,346
2404,255,98,0,353
2405,255,102,0,357
2406,255,100,0,355
2407,255,96,0,351
2408,255,93,0,348
2409,255,83,0,338
2410,255,117,0,372
2411,255,124,0,379
2412,255,150,0,405
2413,255,108,0,363
2414,255,81,0,336
2415,255,94,0,349
2416,255,81,0,336
2417,255,99,0,354
2418,255,69,0,324
2419,255,65,0,320
2420,255,70,0,325
2421,255,69,0,324
2422,255,89,0,344
2423,255,87,0,342
2424,255,234,0,489
2425,255,124,0,379
2426,255,88,0,343
2427,255,71,0,326
2428,255,88,0,343
2429,255,82,0,337
2430,255,92,0,347
2431,255,80,0,335
2432,255,68,0,323
2433,255,70,0,325
2434,255,89,0,344
2435,255,91,0,346
2436,255,76,0,331
2437,255,48,0,303
2438,255,43,0,298
2439,255,61,0,316
2440,255,37,0,292
2441,255,93,0,348
2442,255,124,0,379
2443,255,58,0,313
2444,255,53,0,308
2445,255,38,0,293
2446,255,28,0,283
2447,255,47,0,302
2448,255,77,0,332
2449,255,29,0,284
2450,255,67,0,322
2451,255,59,0,314
2452,255,62,0,317
2453,255,48,0,303
2454,255,55,0,310
2455,255,90,0,345
2456,255,114,0,369
2457,255,60,0,315
2458,255,65,0,320
2459,255,42,0,297
2460,255,61,0,316
2461,255,58,0,313
2462,255,62,0,317
2463,255,41,0,296
2464,255,95,0,350
2465,255,64,0,319
2466,255,89,0,344
2467,255,82,0,337
2468,255,255,9,519
2469,255,148,0,403
2470,255,68,0,323
2471,255,27,0,282
2472,255,55,0,310
2473,255,47,0,302
2474,255,63,0,318
2475,255,61,0,316
2476,255,29,0,284
2477,255,80,0,335
2478,255,61,0,316
2479,255,72,0,327
2480,255,86,0,341
2481,255,73,0,328
2482,255,87,0,342
2483,255,55,0,310
2484,255,46,0,301
2485,255,52,0,307
2486,255,164,0,419
2487,255,46,0,301
2488,255,82,0,337
2489,255,49,0,304
2490,255,39,0,294
2491,255,44,0,299
2492,255,25,0,280
2493,204,0,0,204
2494,255,6,0,261
2495,255,40,0,295
2496,255,26,0,281
2497,255,50,0,305
2498,255,31,0,286
2499,255,29,0,284
2500,255,120,0,375
2501,255,145,0,400
2502,255,95,0,350
2503,255,102,0,357
2504,255,98,0,353
2505,255,109,0,364
2506,255,90,0,345
2507,255,106,0,361
2508,255,112,0,367
2509,255,92,0,347
2510,255,160,0,415
2511,255,127,0,382
2512,255,117,0,372
2513,255,112,0,367
2514,255,117,0,372
2515,255,77,0,332
2516,255,76,0,331
2517,255,67,0,322
2518,255,66,0,321
2519,255,83,0,338
2520,255,98,0,353
2521,255,71,0,326
2522,255,87,0,342
2523,255,81,0,336
2524,255,66,0,321
2525,255,233,0,488
2526,255,110,0,365
2527,255,111,0,366
2528,255,76,0,331
2529,255,80,0,335
2530,255,61,0,316
2531,255,84,0,339
2532,255,56,0,311
2533,255,70,0,325
2534,255,68,0,323
2535,255,62,0,317
2536,255,64,0,319
2537,255,32,0,287
2538,255,30,0,285
2539,255,93,0,348
2540,255,39,0,294
2541,255,74,0,329
2542,255,46,0,301
2543,255,52,0,307
2544,255,34,0,289
2545,255,69,0,324
2546,255,68,0,323
2547,255,55,0,310
2548,255,67,0,322
2549,255,16,0,271
2550,255,69,0,324
2551,255,49,0,304
2552,255,103,0,358
2553,255,9,0,264
2554,255,66,0,321
2555,255,76,0,331
2556,255,30,0,285
2557,255,32,0,287
2558,255,39,0,294
2559,255,16,0,271
2560,255,41,0,296
2561,255,48,0,303
2562,255,38,0,293
2563,255,75,0,330
2564,255,42,0,297
2565,255,62,0,317
2566,255,59,0,314
2567,255,50,0,305
2568,255,67,0,322
2569,255,83,0,338
2570,255,58,0,313
2571,255,42,0,297
2572,255,42,0,297
2573,255,32,0,287
2574,255,88,0,343
2575,255,95,0,350
2576,255,68,0,323
2577,255,52,0,307
2578,255,55,0,310
2579,255,88,0,343
2580,255,255,30,540
2581,255,38,0,293
2582,255,64,0,319
2583,255,70,0,325
2584,255,41,0,296
2585,255,65,0,320
2586,255,53,0,308
2587,255,78,0,333
2588,255,115,0,370
2589,255,100,0,355
2590,255,76,0,331
2591,255,29,0,284
2592,255,16,0,271
2593,255,12,0,267
2594,255,6,0,261
2595,255,33,0,288
2596,255,16,0,271
2597,255,6,0,261
2598,255,19,0,274
2599,255,41,0,296
2600,255,78,0,333
2601,255,76,0,331
2602,255,65,0,320
2603,255,89,0,344
2604,255,88,0,343
2605,255,76,0,331
2606,255,96,0,351
2607,255,82,0,337
2608,255,75,0,330
2609,255,92,0,347
2610,255,106,0,361
2611,255,109,0,364
2612,255,102,0,357
2613,255,69,0,324
2614,255,60,0,315
2615,255,63,0,318
2616,255,40,0,295
2617,255,52,0,307
2618,255,39,0,294
2619,255,16,0,271
2620,255,65,0,320
2621,255,58,0,313
2622,255,93,0,348
2623,255,49,0,304
2624,255,67,0,322
2625,255,76,0,331
2626,255,189,0,444
2627,255,90,0,345
2628,255,79,0,334
2629,255,40,0,295
2630,255,38,0,293
2631,255,45,0,300
2632,255,34,0,289
2633,255,95,0,350
2634,255,36,0,291
2635,255,48,0,303
2636,255,46,0,301
2637,255,33,0,288
2638,255,3,0,258
2639,255,65,0,320
2640,255,20,0,275
2641,255,26,0,281
2642,255,38,0,293
2643,255,24,0,279
2644,255,38,0,293
2645,255,38,0,293
2646,255,37,0,292
2647,255,43,0,298
2648,255,50,0,305
2649,255,21,0,276
2650,255,49,0,304
2651,255,3,0,258
2652,255,56,0,311
2653,255,70,0,325
2654,255,38,0,293
2655,255,6,0,261
2656,255,31,0,286
2657,255,52,0,307
2658,255,46,0,301
2659,255,37,0,292
2660,255,19,0,274
2661,255,39,0,294
2662,255,105,0,360
2663,255,67,0,322
2664,255,43,0,298
2665,255,54,0,309
2666,255,68,0,323
2667,255,58,0,313
2668,255,53,0,308
2669,255,57,0,312
2670,255,28,0,283
2671,255,21,0,276
2672,253,0,0,253
2673,255,18,0,273
2674,255,36,0,291
2675,255,17,0,272
2676,255,33,0,288
2677,255,48,0,303
2678,255,31,0,286
2679,255,45,0,300
2680,255,33,0,288
2681,255,13,0,268
2682,255,2,0,257
2683,255,16,0,271
2684,255,106,0,361
2685,255,35,0,290
2686,255,57,0,312
2687,255,32,0,287
2688,255,58,0,313
2689,255,83,0,338
2690,255,24,0,279
2691,255,41,0,296
2692,249,0,0,249
2693,245,0,0,245
2694,255,27,0,282
2695,255,16,0,271
2696,255,6,0,261
2697,255,3,0,258
2698,255,24,0,279
2699,255,12,0,267
2700,255,60,0,315
2701,255,79,0,334
2702,255,57,0,312
2703,255,93,0,348
2704,255,85,0,340
2705,255,87,0,342
2706,255,81,0,336
2707,255,108,0,363
2708,255,91,0,346
2709,255,85,0,340
2710,255,99,0,354
2711,255,103,0,358
2712,255,109,0,364
2713,255,50,0,305
2714,255,83,0,338
2715,255,58,0,313
2716,255,38,0,293
2717,255,48,0,303
2718,255,57,0,312
2719,255,71,0,326
2720,255,48,0,303
2721,255,49,0,304
2722,255,70,0,325
2723,255,77,0,332
2724,255,30,0,285
2725,255,48,0,303
2726,255,38,0,293
2727,255,185,0,440
2728,255,93,0,348
2729,255,66,0,321
2730,255,36,0,291
2731,255,38,0,293
2732,255,9,0,264
2733,255,69,0,324
2734,255,10,0,265
2735,255,5,0,260
2736,255,38,0,293
2737,255,46,0,301
2738,255,19,0,274
2739,255,15,0,270
2740,255,41,0,296
2741,255,2,0,257
2742,254,0,0,254
2743,255,8,0,263
2744,255,31,0,286
2745,255,14,0,269
2746,255,0,0,255
2747,255,39,0,294
2748,255,28,0,283
2749,255,3,0,258
2750,255,49,0,304
2751,255,14,0,269
2752,255,41,0,296
2753,255,1,0,256
2754,255,33,0,288
2755,255,64,0,319
2756,255,17,0,272
2757,255,24,0,279
2758,255,22,0,277
2759,255,42,0,297
2760,255,16,0,271
2761,255,2,0,257
2762,255,36,0,291
2763,255,16,0,271
2764,255,2,0,257
2765,255,2,0,257
2766,255,37,0,292
2767,255,63,0,318
2768,250,0,0,250
2769,255,19,0,274
2770,255,9,0,264
2771,255,26,0,281
2772,255,93,0,348
2773,255,53,0,308
2774,255,21,0,276
2775,255,28,0,283
2776,255,18,0,273
2777,255,87,0,342
2778,255,33,0,288
2779,255,62,0,317
2780,255,21,0,276
2781,255,46,0,301
2782,255,5,0,260
2783,255,33,0,288
2784,255,36,0,291
2785,255,24,0,279
2786,255,13,0,268
2787,255,44,0,299
2788,255,31,0,286
2789,255,61,0,316
2790,255,38,0,293
2791,255,42,0,297
2792,255,31,0,286
2793,246,0,0,246
2794,255,34,0,289
2795,255,41,0,296
2796,255,9,0,264
2797,255,2,0,257
2798,255,19,0,274
2799,255,41,0,296
2800,255,59,0,314
2801,255,89,0,344
2802,255,95,0,350
2803,255,68,0,323
2804,255,85,0,340
2805,255,70,0,325
2806,255,83,0,338
2807,255,69,0,324
2808,255,88,0,343
2809,255,75,0,330
2810,255,92,0,347
2811,255,109,0,364
2812,255,89,0,344
2813,255,63,0,318
2814,255,52,0,307
2815,255,53,0,308
2816,255,78,0,333
2817,255,50,0,305
2818,255,58,0,313
2819,255,64,0,319
2820,255,55,0,310
2821,255,42,0,297
2822,255,40,0,295
2823,255,53,0,308
2824,255,45,0,300
2825,255,53,0,308
2826,255,23,0,278
2827,255,44,0,299
2828,255,176,0,431
2829,255,76,0,331
2830,255,43,0,298
2831,255,43,0,298
2832,255,24,0,279
2833,255,50,0,305
2834,255,62,0,317
2835,255,28,0,283
2836,255,24,0,279
2837,255,55,0,310
2838,255,19,0,274
2839,255,63,0,318
2840,255,31,0,286
2841,255,35,0,290
2842,255,42,0,297
2843,238,0,0,238
2844,255,3,0,258
2845,255,12,0,267
2846,255,87,0,342
2847,255,18,0,273
2848,255,182,0,437
2849,255,14,0,269
2850,255,42,0,297
2851,244,0,0,244
2852,255,19,0,274
2853,255,47,0,302
2854,255,5,0,260
2855,255,79,0,334
2856,255,58,0,313
2857,249,0,0,249
2858,255,24,0,279
2859,249,0,0,249
2860,255,5,0,260
2861,255,29,0,284
2862,250,0,0,250
2863,255,2,0,257
2864,255,69,0,324
2865,255,12,0,267
2866,255,46,0,301
2867,247,0,0,247
2868,255,67,0,322
2869,255,42,0,297
2870,255,2,0,257
2871,255,32,0,287
2872,255,12,0,267
2873,255,51,0,306
2874,255,13,0,268
2875,255,38,0,293
2876,255,34,0,289
2877,255,33,0,288
2878,255,30,0,285
2879,255,28,0,283
2880,255,29,0,284
2881,255,71,0,326
2882,255,91,0,346
2883,255,25,0,280
2884,255,19,0,274
2885,255,43,0,298
2886,255,46,0,301
2887,255,26,0,281
2888,255,63,0,318
2889,255,12,0,267
2890,255,26,0,281
2891,255,27,0,282
2892,255,41,0,296
2893,255,22,0,277
2894,217,0,0,217
2895,255,0,0,255
2896,255,7,0,262
2897,255,5,0,260
2898,255,39,0,294
2899,249,0,0,249
2900,255,50,0,305
2901,255,70,0,325
2902,255,52,0,307
2903,255,101,0,356
2904,255,70,0,325
2905,255,83,0,338
2906,255,67,0,322
2907,255,74,0,329
2908,255,63,0,318
2909,255,80,0,335
2910,255,94,0,349
2911,255,106,0,361
2912,255,79,0,334
2913,255,37,0,292
2914,255,17,0,272
2915,255,13,0,268
2916,255,49,0,304
2917,255,42,0,297
2918,255,133,0,388
2919,255,33,0,288
2920,255,44,0,299
2921,255,40,0,295
2922,255,49,0,304
2923,255,1,0,256
2924,250,0,0,250
2925,255,89,0,344
2926,255,8,0,263
2927,255,25,0,280
2928,255,35,0,290
2929,255,155,0,410
2930,255,71,0,326
2931,255,24,0,279
2932,255,23,0,278
2933,255,22,0,277
2934,255,39,0,294
2935,255,75,0,330
2936,255,1,0,256
2937,247,0,0,247
2938,255,12,0,267
2939,255,32,0,287
2940,255,36,0,291
2941,255,19,0,274
2942,255,18,0,273
2943,253,0,0,253
2944,255,6,0,261
2945,255,9,0,264
2946,228,0,0,228
2947,255,1,0,256
2948,255,0,0,255
2949,255,5,0,260
2950,255,40,0,295
2951,255,26,0,281
2952,245,0,0,245
2953,255,12,0,267
2954,255,2,0,257
2955,255,31,0,286
2956,255,38,0,293
2957,255,44,0,299
2958,255,0,0,255
2959,255,14,0,269
2960,255,14,0,269
2961,246,0,0,246
2962,249,0,0,249
2963,255,3,0,258
2964,238,0,0,238
2965,255,16,0,271
2966,255,11,0,266
2967,237,0,0,237
2968,255,17,0,272
2969,255,41,0,296
2970,255,6,0,261
2971,255,4,0,259
2972,255,62,0,317
2973,255,14,0,269
2974,255,31,0,286
2975,255,35,0,290
2976,250,0,0,250
2977,255,25,0,280
2978,255,8,0,263
2979,255,32,0,287
2980,255,26,0,281
2981,255,24,0,279
2982,255,18,0,273
2983,252,0,0,252
2984,255,18,0,273
2985,255,31,0,286
2986,255,32,0,287
2987,255,75,0,330
2988,255,43,0,298
2989,255,14,0,269
2990,255,26,0,281
2991,255,6,0,261
2992,255,37,0,292
2993,243,0,0,243
2994,253,0,0,253
2995,255,20,0,275
2996,255,24,0,279
2997,255,3,0,258
2998,250,0,0,250
2999,255,63,0,318
3000,255,175,0,430
3001,255,114,0,369
3002,255,74,0,329
3003,255,114,0,369
3004,255,102,0,357
3005,255,67,0,322
3006,255,141,0,396
3007,255,90,0,345
3008,255,72,0,327
3009,255,79,0,334
3010,255,95,0,350
3011,255,106,0,361
3012,255,96,0,351
3013,255,122,0,377
3014,255,70,0,325
3015,255,67,0,322
3016,255,24,0,279
3017,255,54,0,309
3018,255,40,0,295
3019,255,12,0,267
3020,255,57,0,312
3021,255,110,0,365
3022,255,45,0,300
3023,255,42,0,297
3024,255,63,0,318
3025,255,86,0,341
3026,255,17,0,272
3027,255,36,0,291
3028,255,37,0,292
3029,255,16,0,271
3030,255,199,0,454
3031,255,62,0,317
3032,255,48,0,303
3033,255,74,0,329
3034,255,24,0,279
3035,255,48,0,303
3036,255,24,0,279
3037,255,9,0,264
3038,253,0,0,253
3039,255,6,0,261
3040,255,52,0,307
3041,255,35,0,290
3042,255,55,0,310
3043,255,3,0,258
3044,255,28,0,283
3045,255,21,0,276
3046,217,0,0,217
3047,254,0,0,254
3048,255,12,0,267
3049,220,0,0,220
3050,255,36,0,291
3051,255,7,0,262
3052,244,0,0,244
3053,255,20,0,275
3054,255,12,0,267
3055,255,95,0,350
3056,255,32,0,287
3057,255,2,0,257
3058,255,16,0,271
3059,248,0,0,248
3060,255,47,0,302
3061,255,2,0,257
3062,255,15,0,270
3063,215,0,0,215
3064,255,6,0,261
3065,244,0,0,244
3066,255,39,0,294
3067,246,0,0,246
3068,255,44,0,299
3069,255,14,0,269
3070,255,48,0,303
3071,255,11,0,266
3072,255,18,0,273
3073,235,0,0,235
3074,255,4,0,259
3075,255,28,0,283
3076,220,0,0,220
3077,255,19,0,274
3078,248,0,0,248
3079,255,12,0,267
3080,255,48,0,303
3081,238,0,0,238
3082,255,2,0,257
3083,248,0,0,248
3084,255,5,0,260
3085,255,0,0,255
3086,220,0,0,220
3087,255,30,0,285
3088,255,19,0,274
3089,255,48,0,303
3090,255,72,0,327
3091,213,0,0,213
3092,244,0,0,244
3093,206,0,0,206
3094,232,0,0,232
3095,243,0,0,243
3096,255,15,0,270
3097,252,0,0,252
3098,255,24,0,279
3099,255,11,0,266
3100,255,88,0,343
3101,255,83,0,338
3102,255,55,0,310
3103,255,95,0,350
3104,255,71,0,326
3105,255,103,0,358
3106,255,48,0,303
3107,255,86,0,341
3108,255,106,0,361
3109,255,59,0,314
3110,255,114,0,369
3111,255,123,0,378
3112,255,125,0,380
3113,255,131,0,386
3114,255,77,0,332
3115,255,65,0,320
3116,255,58,0,313
3117,255,159,0,414
3118,255,67,0,322
3119,255,70,0,325
3120,255,84,0,339
3121,255,99,0,354
3122,255,107,0,362
3123,255,115,0,370
3124,255,88,0,343
3125,255,103,0,358
3126,255,81,0,336
3127,255,45,0,300
3128,255,61,0,316
3129,255,69,0,324
3130,255,76,0,331
3131,255,183,0,438
3132,255,97,0,352
3133,255,133,0,388
3134,255,92,0,347
3135,255,71,0,326
3136,255,41,0,296
3137,255,44,0,299
3138,255,18,0,273
3139,255,29,0,284
3140,255,41,0,296
3141,255,124,0,379
3142,255,78,0,333
3143,255,43,0,298
3144,255,74,0,329
3145,255,63,0,318
3146,255,24,0,279
3147,255,47,0,302
3148,255,12,0,267
3149,255,36,0,291
3150,255,54,0,309
3151,255,14,0,269
3152,255,50,0,305
3153,255,8,0,263
3154,255,29,0,284
3155,255,58,0,313
3156,255,40,0,295
3157,255,90,0,345
3158,255,82,0,337
3159,255,64,0,319
3160,255,111,0,366
3161,255,59,0,314
3162,255,48,0,303
3163,255,52,0,307
3164,255,71,0,326
3165,255,22,0,277
3166,255,89,0,344
3167,255,34,0,289
3168,255,66,0,321
3169,255,70,0,325
3170,255,42,0,297
3171,255,24,0,279
3172,250,0,0,250
3173,255,15,0,270
3174,251,0,0,251
3175,255,28,0,283
3176,255,21,0,276
3177,255,30,0,285
3178,255,17,0,272
3179,255,83,0,338
3180,255,50,0,305
3181,255,14,0,269
3182,255,56,0,311
3183,255,24,0,279
3184,255,69,0,324
3185,255,33,0,288
3186,255,25,0,280
3187,255,34,0,289
3188,255,36,0,291
3189,255,13,0,268
3190,255,37,0,292
3191,255,29,0,284
3192,255,14,0,269
3193,255,12,0,267
3194,255,4,0,259
3195,255,8,0,263
3196,255,7,0,262
3197,255,35,0,290
3198,255,74,0,329
3199,255,53,0,308
3200,255,91,0,346
3201,255,80,0,335
3202,255,47,0,302
3203,255,74,0,329
3204,255,56,0,311
3205,255,43,0,298
3206,255,71,0,326
3207,255,48,0,303
3208,255,61,0,316
3209,255,60,0,315
3210,255,198,0,453
3211,255,149,0,404
3212,255,109,0,364
3213,255,118,0,373
3214,255,151,0,406
3215,255,115,0,370
3216,255,116,0,371
3217,255,81,0,336
3218,255,52,0,307
3219,255,60,0,315
3220,255,68,0,323
3221,255,103,0,358
3222,255,61,0,316
3223,255,132,0,387
3224,255,86,0,341
3225,255,67,0,322
3226,255,42,0,297
3227,255,62,0,317
3228,255,36,0,291
3229,255,16,0,271
3230,255,38,0,293
3231,255,111,0,366
3232,255,201,0,456
3233,255,114,0,369
3234,255,95,0,350
3235,255,91,0,346
3236,255,92,0,347
3237,255,67,0,322
3238,255,39,0,294
3239,255,35,0,290
3240,255,60,0,315
3241,255,69,0,324
3242,255,56,0,311
3243,255,50,0,305
3244,255,58,0,313
3245,255,96,0,351
3246,255,69,0,324
3247,255,51,0,306
3248,255,24,0,279
3249,255,37,0,292
3250,255,98,0,353
3251,255,56,0,311
3252,255,8,0,263
3253,255,53,0,308
3254,255,91,0,346
3255,255,51,0,306
3256,255,128,0,383
3257,255,35,0,290
3258,255,61,0,316
3259,255,56,0,311
3260,255,27,0,282
3261,255,62,0,317
3262,255,26,0,281
3263,251,0,0,251
3264,255,45,0,300
3265,255,52,0,307
3266,255,91,0,346
3267,255,74,0,329
3268,255,21,0,276
3269,255,29,0,284
3270,255,89,0,344
3271,255,22,0,277
3272,255,46,0,301
3273,255,6,0,261
3274,255,11,0,266
3275,255,15,0,270
3276,255,34,0,289
3277,255,80,0,335
3278,255,73,0,328
3279,255,48,0,303
3280,255,71,0,326
3281,255,62,0,317
3282,255,44,0,299
3283,255,85,0,340
3284,255,22,0,277
3285,255,21,0,276
3286,255,56,0,311
3287,255,71,0,326
3288,255,68,0,323
3289,255,16,0,271
3290,255,6,0,261
3291,255,58,0,313
3292,244,0,0,244
3293,246,0,0,246
3294,255,68,0,323
3295,255,19,0,274
3296,255,24,0,279
3297,240,0,0,240
3298,255,47,0,302
3299,255,74,0,329
3300,255,83,0,338
3301,255,69,0,324
3302,255,48,0,303
3303,255,98,0,353
3304,255,93,0,348
3305,255,65,0,320
3306,255,56,0,311
3307,255,35,0,290
3308,255,41,0,296
3309,255,63,0,318
3310,255,120,0,375
3311,255,113,0,368
3312,255,96,0,351
3313,255,97,0,352
3314,255,73,0,328
3315,255,88,0,343
3316,255,78,0,333
3317,255,51,0,306
3318,255,87,0,342
3319,255,38,0,293
3320,255,99,0,354
3321,255,128,0,383
3322,255,134,0,389
3323,255,117,0,372
3324,255,89,0,344
3325,255,99,0,354
3326,255,78,0,333
3327,255,54,0,309
3328,255,63,0,318
3329,255,28,0,283
3330,255,76,0,331
3331,255,84,0,339
3332,255,83,0,338
3333,255,255,63,573
3334,255,102,0,357
3335,255,64,0,319
3336,255,63,0,318
3337,255,74,0,329
3338,255,64,0,319
3339,255,91,0,346
3340,255,46,0,301
3341,255,77,0,332
3342,255,44,0,299
3343,255,53,0,308
3344,255,135,0,390
3345,255,75,0,330
3346,252,0,0,252
3347,255,33,0,288
3348,255,21,0,276
3349,255,44,0,299
3350,255,38,0,293
3351,255,30,0,285
3352,255,50,0,305
3353,255,122,0,377
3354,255,30,0,285
3355,255,134,0,389
3356,255,65,0,320
3357,255,80,0,335
3358,255,50,0,305
3359,255,34,0,289
3360,255,40,0,295
3361,255,21,0,276
3362,255,23,0,278
3363,255,81,0,336
3364,255,26,0,281
3365,255,40,0,295
3366,255,109,0,364
3367,255,74,0,329
3368,255,41,0,296
3369,255,105,0,360
3370,255,38,0,293
3371,255,35,0,290
3372,255,37,0,292
3373,255,66,0,321
3374,255,17,0,272
3375,255,47,0,302
3376,255,24,0,279
3377,255,125,0,380
3378,255,41,0,296
3379,255,52,0,307
3380,255,59,0,314
3381,255,8,0,263
3382,255,15,0,270
3383,255,26,0,281
3384,255,20,0,275
3385,255,19,0,274
3386,255,58,0,313
3387,255,14,0,269
3388,255,112,0,367
3389,255,16,0,271
3390,255,15,0,270
3391,255,30,0,285
3392,255,7,0,262
3393,255,41,0,296
3394,230,0,0,230
3395,255,11,0,266
3396,255,12,0,267
3397,255,31,0,286
3398,255,19,0,274
3399,255,90,0,345
3400,255,51,0,306
3401,255,32,0,287
3402,255,44,0,299
3403,255,90,0,345
3404,255,44,0,299
3405,255,19,0,274
3406,255,59,0,314
3407,255,40,0,295
3408,255,44,0,299
3409,255,34,0,289
3410,255,77,0,332
3411,255,88,0,343
3412,255,134,0,389
3413,255,36,0,291
3414,255,55,0,310
3415,255,57,0,312
3416,255,43,0,298
3417,255,32,0,287
3418,255,16,0,271
3419,255,44,0,299
3420,255,50,0,305
3421,255,118,0,373
3422,255,53,0,308
3423,255,55,0,310
3424,255,79,0,334
3425,255,74,0,329
3426,255,63,0,318
3427,255,45,0,300
3428,255,42,0,297
3429,255,45,0,300
3430,255,56,0,311
3431,255,39,0,294
3432,255,63,0,318
3433,255,95,0,350
3434,255,191,0,446
3435,255,95,0,350
3436,255,66,0,321
3437,255,45,0,300
3438,255,25,0,280
3439,255,34,0,289
3440,255,40,0,295
3441,255,34,0,289
3442,255,48,0,303
3443,255,78,0,333
3444,255,61,0,316
3445,255,58,0,313
3446,255,25,0,280
3447,255,14,0,269
3448,255,6,0,261
3449,243,0,0,243
3450,255,43,0,298
3451,255,77,0,332
3452,255,112,0,367
3453,255,51,0,306
3454,255,44,0,299
3455,255,57,0,312
3456,255,186,0,441
3457,255,49,0,304
3458,255,36,0,291
3459,255,34,0,289
3460,255,37,0,292
3461,255,41,0,296
3462,255,57,0,312
3463,255,23,0,278
3464,255,21,0,276
3465,255,35,0,290
3466,255,21,0,276
3467,255,59,0,314
3468,255,24,0,279
3469,255,41,0,296
3470,255,14,0,269
3471,255,28,0,283
3472,255,47,0,302
3473,255,8,0,263
3474,255,68,0,323
3475,255,31,0,286
3476,255,56,0,311
3477,255,128,0,383
3478,255,64,0,319
3479,255,26,0,281
3480,255,24,0,279
3481,255,22,0,277
3482,248,0,0,248
3483,255,2,0,257
3484,255,15,0,270
3485,255,23,0,278
3486,255,60,0,315
3487,253,0,0,253
3488,255,37,0,292
3489,255,35,0,290
3490,255,26,0,281
3491,253,0,0,253
3492,250,0,0,250
3493,255,24,0,279
3494,255,5,0,260
3495,255,1,0,256
3496,244,0,0,244
3497,234,0,0,234
3498,232,0,0,232
3499,232,0,0,232
3500,255,74,0,329
3501,255,47,0,302
3502,255,31,0,286
3503,255,12,0,267
3504,255,75,0,330
3505,255,50,0,305
3506,255,1,0,256
3507,255,25,0,280
3508,255,33,0,288
3509,255,36,0,291
3510,255,57,0,312
3511,255,97,0,352
3512,255,91,0,346
3513,255,59,0,314
3514,255,38,0,293
3515,255,133,0,388
3516,255,45,0,300
3517,255,34,0,289
3518,255,46,0,301
3519,255,48,0,303
3520,255,45,0,300
3521,255,70,0,325
3522,255,84,0,339
3523,255,24,0,279
3524,255,49,0,304
3525,255,46,0,301
3526,255,46,0,301
3527,255,12,0,267
3528,255,72,0,327
3529,238,0,0,238
3530,255,0,0,255
3531,255,27,0,282
3532,255,18,0,273
3533,255,54,0,309
3534,255,78,0,333
3535,255,211,0,466
3536,255,72,0,327
3537,255,79,0,334
3538,255,31,0,286
3539,255,43,0,298
3540,255,14,0,269
3541,255,63,0,318
3542,255,65,0,320
3543,255,58,0,313
3544,255,40,0,295
3545,255,59,0,314
3546,255,52,0,307
3547,255,63,0,318
3548,255,27,0,282
3549,236,0,0,236
3550,255,20,0,275
3551,255,41,0,296
3552,255,29,0,284
3553,255,74,0,329
3554,255,44,0,299
3555,255,38,0,293
3556,255,62,0,317
3557,255,26,0,281
3558,255,12,0,267
3559,255,26,0,281
3560,255,31,0,286
3561,255,17,0,272
3562,255,19,0,274
3563,255,8,0,263
3564,255,32,0,287
3565,255,42,0,297
3566,255,33,0,288
3567,255,28,0,283
3568,255,38,0,293
3569,255,76,0,331
3570,255,93,0,348
3571,255,42,0,297
3572,255,34,0,289
3573,255,9,0,264
3574,255,12,0,267
3575,255,48,0,303
3576,255,21,0,276
3577,255,87,0,342
3578,255,82,0,337
3579,255,146,0,401
3580,255,48,0,303
3581,255,22,0,277
3582,255,12,0,267
3583,255,3,0,258
3584,254,0,0,254
3585,255,61,0,316
3586,255,13,0,268
3587,255,49,0,304
3588,255,52,0,307
3589,236,0,0,236
3590,255,49,0,304
3591,255,38,0,293
3592,235,0,0,235
3593,255,8,0,263
3594,255,58,0,313
3595,247,0,0,247
3596,255,21,0,276
3597,255,22,0,277
3598,255,7,0,262
3599,255,16,0,271
3600,255,69,0,324
3601,255,19,0,274
3602,255,8,0,263
3603,254,0,0,254
3604,253,0,0,253
3605,255,26,0,281
3606,255,29,0,284
3607,255,7,0,262
3608,255,22,0,277
3609,255,14,0,269
3610,255,42,0,297
3611,255,52,0,307
3612,255,60,0,315
3613,255,61,0,316
3614,255,52,0,307
3615,255,61,0,316
3616,255,20,0,275
3617,255,14,0,269
3618,255,83,0,338
3619,255,22,0,277
3620,255,6,0,261
3621,255,30,0,285
3622,255,48,0,303
3623,255,31,0,286
3624,255,48,0,303
3625,255,60,0,315
3626,255,35,0,290
3627,255,24,0,279
3628,255,47,0,302
3629,255,24,0,279
3630,255,31,0,286
3631,255,34,0,289
3632,255,35,0,290
3633,255,21,0,276
3634,255,14,0,269
3635,255,38,0,293
3636,255,174,0,429
3637,255,74,0,329
3638,255,35,0,290
3639,255,58,0,313
3640,255,37,0,292
3641,255,33,0,288
3642,255,23,0,278
3643,255,21,0,276
3644,255,28,0,283
3645,255,42,0,297
3646,255,43,0,298
3647,255,25,0,280
3648,255,30,0,285
3649,255,41,0,296
3650,255,32,0,287
3651,255,94,0,349
3652,255,66,0,321
3653,255,19,0,274
3654,255,71,0,326
3655,255,6,0,261
